Vehicle ID,Timestamp,Latitude,Longitude,Heading,Pattern ID,Route,Destination,Distance,Delay
8458,20240419 21:44,41.867012418549635,-87.62406158447266,1,18414,3,Michigan/Chicago,57601,false
1329,20240419 21:44,41.870018005371094,-87.62403869628906,359,18414,3,Michigan/Chicago,58801,false
1297,20240419 21:44,41.896753399188704,-87.62294604961689,88,18414,3,Michigan/Chicago,68850,false
7971,20240419 21:44,41.89377212524414,-87.61985778808594,184,18415,3,95th Red Line,0,false
1338,20240419 21:44,41.89429149987563,-87.62431335449219,180,18415,3,95th Red Line,3386,false
8405,20240419 21:44,41.87809107853816,-87.62439727783203,180,18415,3,95th Red Line,9320,false
8457,20240419 21:45,41.86444514730702,-87.62407684326172,181,18415,3,95th Red Line,14316,false
1250,20240419 21:44,41.82396066839045,-87.61705780029297,180,18415,3,95th Red Line,30449,false
1252,20240419 21:44,41.783649722012605,-87.61582946777344,176,18415,3,95th Red Line,45171,false
7945,20240419 21:44,41.77256736755371,-87.61553279331753,176,18415,3,95th Red Line,49216,false
1336,20240419 21:44,41.7469842844996,-87.61489933934705,176,18415,3,95th Red Line,58567,false
7973,20240419 21:59,41.73619842529297,-87.6145248413086,358,18414,3,Michigan/Chicago,8319,false
7963,20240419 22:00,41.76007919311523,-87.61505986993963,359,18414,3,Michigan/Chicago,17052,false
1206,20240419 22:00,41.79090647910958,-87.61584039944321,359,18414,3,Michigan/Chicago,28359,false
1205,20240419 21:59,41.822706858317055,-87.61683654785156,358,18414,3,Michigan/Chicago,40013,false
7920,20240419 22:00,41.841940307617186,-87.61713409423828,0,18414,3,Michigan/Chicago,47059,false
1329,20240419 21:59,41.89339145861174,-87.62413024902344,355,18414,3,Michigan/Chicago,67285,false
8458,20240419 21:59,41.89340832358912,-87.62413024902344,356,18414,3,Michigan/Chicago,67291,false
1297,20240419 21:59,41.89377212524414,-87.61985778808594,174,18415,3,95th Red Line,0,false
8526,20240419 22:00,41.893595824370514,-87.62430572509766,164,18415,3,95th Red Line,3641,false
7971,20240419 21:59,41.88390124573999,-87.62453554114516,184,18415,3,95th Red Line,7194,false
1338,20240419 22:00,41.87414602799849,-87.62431335449219,179,18415,3,95th Red Line,10760,false
8405,20240419 21:59,41.852787017822266,-87.62154388427734,84,18415,3,95th Red Line,19209,false
8457,20240419 21:59,41.831338246663414,-87.6173095703125,182,18415,3,95th Red Line,27742,false
1250,20240419 21:59,41.76160702640063,-87.61519622802734,178,18415,3,95th Red Line,53231,false
1252,20240419 22:00,41.7361946105957,-87.61457824707031,178,18415,3,95th Red Line,62514,false
7945,20240419 21:59,41.72193925277047,-87.61420971414317,254,18415,3,95th Red Line,67718,false
7973,20240419 22:15,41.784263441297746,-87.61571502685547,357,18414,3,Michigan/Chicago,25925,false
7963,20240419 22:14,41.801981353759764,-87.61603490656073,6,18414,3,Michigan/Chicago,32422,false
1206,20240419 22:15,41.84515374282311,-87.61723327636719,358,18414,3,Michigan/Chicago,48237,false
1205,20240419 22:15,41.86381244659424,-87.6240177154541,359,18414,3,Michigan/Chicago,56434,false
7920,20240419 22:14,41.87765279309503,-87.62418510173929,358,18414,3,Michigan/Chicago,61583,false
8458,20240419 22:14,41.893845062255856,-87.61986602783203,179,18415,3,95th Red Line,0,false
1329,20240419 22:15,41.895276355743405,-87.62030029296875,338,18415,3,95th Red Line,867,false
1297,20240419 22:14,41.88337303610409,-87.6245257807713,172,18415,3,95th Red Line,7385,false
8526,20240419 22:14,41.86605022264563,-87.6241695569909,179,18415,3,95th Red Line,13726,false
7971,20240419 22:14,41.85144386291504,-87.61905670166016,180,18415,3,95th Red Line,20297,false
1338,20240419 22:14,41.840548125790875,-87.61738586425781,181,18415,3,95th Red Line,24376,false
8405,20240419 22:15,41.796794597919174,-87.61603546142578,178,18415,3,95th Red Line,40367,false
